model,accuracy,balanced_accuracy,macro_f1
Balanced HistGradientBoosting,0.5584905660377358,0.5155310402136523,0.5104251008322979
Linear SVM,0.5918722786647315,0.5104157825698121,0.4618639083051623
Class-prior baseline,0.46850507982583456,0.3333333333333333,0.21269025499110494
