draw_bin,matches,mean_predicted_draw_probability,observed_draw_rate
"(0.138, 0.191]",21,0.18043965023204103,0.2857142857142857
"(0.191, 0.206]",21,0.19830104885510946,0.3333333333333333
"(0.206, 0.222]",20,0.2138715904797596,0.05
"(0.222, 0.234]",21,0.22693947328969927,0.19047619047619047
"(0.234, 0.299]",21,0.2551746633118639,0.2857142857142857
