split,matches,accuracy,log_loss,multiclass_brier,actual_draw_rate,mean_predicted_draw_probability,argmax_draw_prediction_rate,argmax_draw_recall
Overall,104,0.6057692307692307,0.883983353957591,0.5235506902241588,0.23076923076923078,0.2149556092217133,0.0,0.0
Group stage,72,0.5555555555555556,0.9301456950917699,0.5589220387411915,0.2777777777777778,0.20854695438980547,0.0,0.0
Knockout stage,32,0.71875,0.7801180864056882,0.4439651560608353,0.125,0.22937508259350586,0.0,0.0
