probability_rank,model,accuracy,balanced_accuracy,macro_f1,away_win_recall,draw_recall,home_win_recall,log_loss,multiclass_brier
1,Calibrated Linear SVM,0.5962264150943396,0.5005544868910233,0.4448527986786796,0.6235521235521235,0.011320754716981131,0.8667905824039653,0.8917168443227387,0.5249155607356902
2,Calibrated Balanced HistGradientBoosting,0.5834542815674891,0.4835876192227458,0.4290356095830263,0.5646718146718147,0.006289308176100629,0.8798017348203222,0.9256857214888005,0.5432831947465232
3,Class-prior baseline,0.46850507982583456,0.3333333333333333,0.21269025499110494,0.0,0.0,1.0,1.0556931280247719,0.6373225961543042
