metric,estimate,ci_lower_95,ci_upper_95,bootstrap_iterations,bootstrap_seed
accuracy,0.6057692307692307,0.5096153846153846,0.7019230769230769,5000,2026
log_loss,0.883983353957591,0.7863753020804627,0.9839414856537598,5000,2026
multiclass_brier,0.5235506902241588,0.4518586637704332,0.5970397810806761,5000,2026
